Quarter,Sales,t,t_square,log_Sales,Q1,Q2,Q3,Q4
Q1_86,1734.827,1,1,7.458662975,1,0,0,0
Q2_86,2244.960999,2,4,7.716443427,0,1,0,0
Q3_86,2533.804993,3,9,7.837477402,0,0,1,0
Q4_86,2154.962997,4,16,7.675528832,0,0,0,1
Q1_87,1547.818996,5,25,7.34460212,1,0,0,0
Q2_87,2104.411995,6,36,7.65179137,0,1,0,0
Q3_87,2014.362999,7,49,7.608058295,0,0,1,0
Q4_87,1991.746998,8,64,7.596767421,0,0,0,1
Q1_88,1869.049999,9,81,7.533185559,1,0,0,0
Q2_88,2313.631996,10,100,7.746573861,0,1,0,0
Q3_88,2128.32,11,121,7.663088215,0,0,1,0
Q4_88,2026.828999,12,144,7.614227781,0,0,0,1
Q1_89,1910.603996,13,169,7.555174699,1,0,0,0
Q2_89,2331.164993,14,196,7.754123419,0,1,0,0
Q3_89,2206.549995,15,225,7.699185487,0,0,1,0
Q4_89,2173.967995,16,256,7.684309346,0,0,0,1
Q1_90,2148.278,17,289,7.67242187,1,0,0,0
Q2_90,2739.307999,18,324,7.915460612,0,1,0,0
Q3_90,2792.753998,19,361,7.934783484,0,0,1,0
Q4_90,2556.009995,20,400,7.846202726,0,0,0,1
Q1_91,2480.973999,21,441,7.816406504,1,0,0,0
Q2_91,3039.522995,22,484,8.019455873,0,1,0,0
Q3_91,3172.115997,23,529,8.062154151,0,0,1,0
Q4_91,2879.000999,24,576,7.965198638,0,0,0,1
Q1_92,2772,25,625,7.92732436,1,0,0,0
Q2_92,3550,26,676,8.174702882,0,1,0,0
Q3_92,3508,27,729,8.162801353,0,0,1,0
Q4_92,3243.859993,28,784,8.084519256,0,0,0,1
Q1_93,3056,29,841,8.02486215,1,0,0,0
Q2_93,3899,30,900,8.268475389,0,1,0,0
Q3_93,3629,31,961,8.196712407,0,0,1,0
Q4_93,3373,32,1024,8.123557835,0,0,0,1
Q1_94,3352,33,1089,8.117312462,1,0,0,0
Q2_94,4342,34,1156,8.37609035,0,1,0,0
Q3_94,4461,35,1225,8.403128235,0,0,1,0
Q4_94,4017,36,1296,8.298290634,0,0,0,1
Q1_95,3854,37,1369,8.256866849,1,0,0,0
Q2_95,4936,38,1444,8.504310566,0,1,0,0
Q3_95,4895,39,1521,8.495969555,0,0,1,0
Q4_95,4333,40,1600,8.374015422,0,0,0,1
Q1_96,4194,41,1681,8.341410211,1,0,0,0
Q2_96,5253,42,1764,8.566554621,0,1,0,0
Q3_96,,43,1830.666667,,0,0,1,0
Q4_96,,44,1906.666667,,0,0,0,1
Q1_97,,45,1982.666667,,1,0,0,0
Q2_97,,46,2058.666667,,0,1,0,0
Q3_97,,47,2134.666667,,0,0,1,0
Q4_97,,48,2210.666667,,0,0,0,1
Q1_98,,49,2286.666667,,1,0,0,0
Q2_98,,50,2362.666667,,0,1,0,0
Q3_98,,51,2438.666667,,0,0,1,0
Q4_98,,52,2514.666667,,0,0,0,1
Q1_99,,53,2590.666667,,1,0,0,0
Q2_99,,54,2666.666667,,0,1,0,0
