"Quarter","Sales","t","t_square","log_Sales","Q1","Q2","Q3","Q4"
"Q1_86",1734.82699966431,1,1,7.45866297540034,1,0,0,0
"Q2_86",2244.96099853516,2,4,7.71644342743532,0,1,0,0
"Q3_86",2533.80499267578,3,9,7.83747740159611,0,0,1,0
"Q4_86",2154.96299743652,4,16,7.67552883182733,0,0,0,1
"Q1_87",1547.81899642944,5,25,7.34460211994197,1,0,0,0
"Q2_87",2104.41199493408,6,36,7.65179136977107,0,1,0,0
"Q3_87",2014.3629989624,7,49,7.60805829485411,0,0,1,0
"Q4_87",1991.74699783325,8,64,7.59676742095835,0,0,0,1
"Q1_88",1869.04999923706,9,81,7.53318555896347,1,0,0,0
"Q2_88",2313.63199615479,10,100,7.74657386146546,0,1,0,0
"Q3_88",2128.31999969482,11,121,7.66308821495267,0,0,1,0
"Q4_88",2026.82899856567,12,144,7.61422778106092,0,0,0,1
"Q1_89",1910.60399627686,13,169,7.55517469946821,1,0,0,0
"Q2_89",2331.16499328613,14,196,7.75412341872135,0,1,0,0
"Q3_89",2206.54999542236,15,225,7.69918548670007,0,0,1,0
"Q4_89",2173.96799468994,16,256,7.68430934571903,0,0,0,1
"Q1_90",2148.27799987793,17,289,7.67242186991634,1,0,0,0
"Q2_90",2739.30799865723,18,324,7.91546061225008,0,1,0,0
"Q3_90",2792.75399780273,19,361,7.93478348394317,0,0,1,0
"Q4_90",2556.00999450684,20,400,7.84620272570372,0,0,0,1
"Q1_91",2480.97399902344,21,441,7.81640650359796,1,0,0,0
"Q2_91",3039.52299499512,22,484,8.0194558725476,0,1,0,0
"Q3_91",3172.11599731445,23,529,8.06215415122685,0,0,1,0
"Q4_91",2879.00099945068,24,576,7.96519863776414,0,0,0,1
"Q1_92",2772,25,625,7.92732436030979,1,0,0,0
"Q2_92",3550,26,676,8.17470288246946,0,1,0,0
"Q3_92",3508,27,729,8.16280135349207,0,0,1,0
"Q4_92",3243.85999298096,28,784,8.08451925554344,0,0,0,1
"Q1_93",3056,29,841,8.02486215028641,1,0,0,0
"Q2_93",3899,30,900,8.2684753889826,0,1,0,0
"Q3_93",3629,31,961,8.19671240721307,0,0,1,0
"Q4_93",3373,32,1024,8.12355783506165,0,0,0,1
"Q1_94",3352,33,1089,8.11731246160197,1,0,0,0
"Q2_94",4342,34,1156,8.37609035043824,0,1,0,0
"Q3_94",4461,35,1225,8.40312823512826,0,0,1,0
"Q4_94",4017,36,1296,8.29829063435928,0,0,0,1
"Q1_95",3854,37,1369,8.25686684897431,1,0,0,0
"Q2_95",4936,38,1444,8.50431056558522,0,1,0,0
"Q3_95",4895,39,1521,8.49596955496461,0,0,1,0
"Q4_95",4333,40,1600,8.37401542173991,0,0,0,1
"Q1_96",4194,41,1681,8.34141021146186,1,0,0,0
"Q2_96",5253,42,1764,8.56655462095396,0,1,0,0
